height,lightning_nodes,lightning_channels,segwit_percentage,segwit_inputs,total_inputs,lightning_channels_funded
510799,639,3565,2.89,102,3524,5
510798,639,3565,0.65,22,3391,0
510797,639,3565,3.69,131,3547,2
510796,639,3565,1.62,58,3580,2
510795,639,3565,3.03,110,3635,3
510794,639,3565,1.26,43,3426,0
510793,639,3565,4.16,151,3629,3
510792,639,3565,3.09,116,3753,5
510791,639,3565,4.81,178,3704,3
510790,639,3565,6.36,247,3881,8
510789,639,3565,1.61,56,3480,5
510788,639,3565,4.58,191,4168,6
510787,639,3565,3.55,128,3604,3
510786,639,3565,6.36,284,4462,12
510785,639,3565,11.65,99,850,8
510782,639,3565,4.61,177,3838,5
510781,639,3565,11.39,455,3993,6
510780,639,3565,9.39,328,3493,5
510779,639,3565,0.53,18,3389,1
510778,639,3565,4.58,172,3753,2
510775,639,3565,14.83,657,4429,11
510773,639,3565,16.79,791,4711,10
510772,639,3565,13.98,383,2740,6
510771,639,3565,4.08,165,4040,2
510769,639,3565,3.01,111,3686,4
510768,639,3565,0.97,33,3406,0
510767,639,3565,0.65,21,3216,0
510766,639,3565,1.50,53,3527,2
510764,639,3565,5.33,202,3787,2
510762,639,3565,9.11,374,4106,5
510761,639,3565,12.28,529,4309,6
510760,639,3565,3.03,1,33,0
510759,639,3565,9.00,19,211,1
510758,639,3565,14.39,652,4530,3
510756,639,3565,0.88,31,3525,2
510755,639,3565,3.48,129,3703,5
510754,639,3565,1.42,51,3583,1
510753,639,3565,2.45,92,3761,3
510752,639,3565,13.13,516,3931,2
510751,639,3565,16.17,431,2665,8
510750,639,3565,10.47,429,4097,3
510748,639,3565,4.85,182,3755,1
510747,639,3565,8.24,325,3945,6
510746,639,3565,2.08,75,3602,0
510745,639,3565,12.78,704,5507,7
510743,639,3565,14.66,685,4674,5
510742,639,3565,7.48,348,4653,5
510741,658,3857,2.91,105,3603,1
510740,658,3857,4.74,188,3964,0
510739,658,3857,7.06,275,3894,4
510738,658,3857,6.33,244,3852,2
510736,658,3857,7.91,338,4274,1
510735,658,3857,4.06,148,3648,1
510734,658,3857,32.80,1794,5470,1
510733,658,3857,12.61,646,5121,6
510732,658,3857,18.49,137,741,0
510731,658,3857,8.51,367,4315,3
510730,658,3857,4.57,187,4089,6
510729,658,3857,8.25,350,4244,2
510728,658,3857,18.25,477,2613,0
510727,658,3857,3.26,121,3712,2
510726,658,3857,9.87,419,4247,5
510725,658,3857,2.49,90,3613,2
510724,658,3857,0.29,10,3470,0
510722,658,3857,1.77,65,3672,0
510722,658,3857,1.77,65,3672,0
510721,658,3857,8.38,365,4356,4
