nodeid,alias,color,last_timestamp,addresses/0/type,addresses/0/address,addresses/0/port,addresses/1/type,addresses/1/address,addresses/1/port
03c45fe15c475d61c1d39b6e11b3bfbd913b98f3f21abea787e0d5cb889d35337d,Sirius,0066cc,1518288988,ipv4,173.212.242.243,9735,,,
0397b318c5e0d09b16e6229ec50744c8a7a8452b2d7c6d9855c826ff14b8fa8b27,macrohard,0397b3,1520832105,,,,,,
02f8fb8865f0540ffc8c8a42d596a9ada05cb1af52a9f6d69c02d6bbd343003752,bitcoin,1c0f45,1521455762,ipv4,104.196.19.86,9735,,,
02d0f53a403a0b16efdec1983a082ab7645e35858f6a855871e489c9992748a059,bitcoinsupermarkt.de,3399ff,1521493987,ipv4,85.214.234.164,9735,,,
028a9bc7ed7167425867fc5d78e0d40fdf8c69edc82ecff5523f6796f9ba05751e,SOMBERNIGHT,028a9b,1521152254,ipv6,2601:2c4:8100:9843:604d:ae5a:fa94:dbb7,9735,,,
02829de2d8762ac70f6a243c7e210e1a41d7bc9fe909d09f120b7f0b0252c83858,ZaptremNode,3399ff,1521314045,ipv4,74.71.22.170,9735,,,
02dd87628ae9be8db2151e958cfa2ea538c9e249966628b540d7dfe0b62eca1e1a,JAPAN,ffa500,1517909840,ipv4,104.199.160.220,9735,,,
029bb2e03a7c35dabace0857266d9a56d7f059e9d67e6239e6cb9141c3e2c048b4,magblu,00ff00,1521370417,ipv4,35.185.2.227,9735,,,
029349fd39b0a03f8c5ff6ff27b0ae76a863bb0a74e2b197f85345ab5fd8de0229,QUANTUM,3399ff,1521324227,ipv4,45.77.151.217,9735,,,
02c145148d04297486384fcd5d60edcddfd7b48db2c9a98bea5875b4696bbaa9c9,WEIRDCHASER,02c145,1520027127,,,,,,
03557fd11b58cb93d2ad4fab4dd4cff7462a97e21e8f6b7a712cb8bd27a96b9eef,TorGuard VPN,ff0000,1521451881,ipv4,188.166.23.129,9735,,,
031feee8045899c658eec2b6f2f6da6e4bdd7baabdc61bdc017761577342fbd011,matt.drollette.com,3399ff,1521501255,ipv4,76.184.81.28,9735,,,
