source,destination,weight
03e3d670d86f33181ee7451f14998b376a0d5deba8ab064b4ebe5ad5706f7b112b,036487e0bd981617c674c2856fc0050472a0182838e0a4a1a67545c6cdee9f49a0,1000
023daf469bbf2d5769d7673b66a841bd6d46452a4e20be548c6b11da730e5db575,027ab5595ed7edf91754c42ef8d0d572bac35e80ef2c26f3f6080d9033ce685821,100
023daf469bbf2d5769d7673b66a841bd6d46452a4e20be548c6b11da730e5db575,03bd9d0475188ef42f4a0beb8cba4031a9bf44ae274b82f2652a330bab2f69c9d2,100
023daf469bbf2d5769d7673b66a841bd6d46452a4e20be548c6b11da730e5db575,034a5fdb2df3ce1bfd2c2aca205ce9cfeef1a5f4af21b0b5e81c453080c30d7683,100
0267db6fbe76e1fbae50e27529a330837e9e1f4b9e4c7bbfefd7d6a1b3ffe2b245,03cbf298b068300be33f06c947b9d3f00a0f0e8089da3233f5db37e81d3a596fe1,1000
026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162,0357712cde38c9e82044ce5070473585e35dcb6069014a7e31a28968f5d839bab4,1000
026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162,03cb9bec8ac2d1f1e51422977139468e17cbc61109afc5c476897e9346bc5d3eac,1000
026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,02dcdd7e18b80dc7fd51af34e871901c13f574e4b82325dc74c0beeada5771e8e9,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,03cbf298b068300be33f06c947b9d3f00a0f0e8089da3233f5db37e81d3a596fe1,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,024b82d69859d63f9fce375041a34e61f4bfd445494b41d873ae7505322323d384,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,0250373555232cec757ea141273e75381c84cc3ab22f1e3a3ca5a2dc55b1904c24,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,027e9923151c58a7dfed9c2cd521587dbd0f0928f548b7853dde7475c21ad3a786,1000
