source,destination,weight
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02398e68818bd5db532a480c9b6bec9e743d33f72d8d639619565b0b1430d2056d,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02ecb395c3090cb99429ce64b7bce41b68dfd6fbb2a337f0f556b6337460e546fd,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,021eed4e271e2031a4d58ee2136c55c7079700a6e15664c04fd1a92fb060401795,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,0336df94c9f861f6e36f48427e100a68c2aac2f3cc4c632c816e3d2e12b865c183,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02a4452b0854f164196b924eb36fbb764a35ba2aa32bb7d7885376581be3b971d4,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,03b7802e8ed9fed4cefed50d0074100368c1b2c46d9e8f1be55f55133495340c60,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,0280d7fa7869b74dcc8d34eccf3db1003b35a0af019700e9407106301e97a81c82,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,03b0ae61e882c00adfc5dadb2005b517e034ae1b9a44f44962f37da3c723634d6b,1000
03587e75c5928c0bdaae3b100f3edf7211bfd900d08a93f391e7d20fe062eeb37c,03c7cad7e4ecfc741909b910d59b31b631e36afffc58e87389172c80702fddcbfa,1000
033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,02a0f1e7defe594d4f89e056ac45dbc3c2bdb29480270ed11c11040128a4ca6285,1000
033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,023668a30d0a27304695df3fb1af55a4fb75153eac34840817cae0e6a57894fd51,1000
033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5,1000
033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a,1000
02b7060f74b7e04d3d8af97fab20381fcc16f7a33c7e526fa5c9b96afdb288d7d2,023668a30d0a27304695df3fb1af55a4fb75153eac34840817cae0e6a57894fd51,1000
02b7060f74b7e04d3d8af97fab20381fcc16f7a33c7e526fa5c9b96afdb288d7d2,03ac27acff678ce4a2f25756612d3a83e2cb4d7552db168d3bb15482b92c80215f,1000
02b7060f74b7e04d3d8af97fab20381fcc16f7a33c7e526fa5c9b96afdb288d7d2,031feee8045899c658eec2b6f2f6da6e4bdd7baabdc61bdc017761577342fbd011,1000
02b7060f74b7e04d3d8af97fab20381fcc16f7a33c7e526fa5c9b96afdb288d7d2,039376f846cb4e137f3474baa7fbe74ec627745c7d5c54935b99fbb1b60a62c9b3,1000
02b7060f74b7e04d3d8af97fab20381fcc16f7a33c7e526fa5c9b96afdb288d7d2,03378bda17378f0a054c87bde20b24e73cff878556c9258e043d0fefc378a8c978,1000
02a90ee457ad397e5e882780b1fa0d109c3b66479d38e7682f5ee75fe995800f8e,021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b,1000
03cea3557a68bb4f2845808b937531e8666b16724e1d5f24215d9234efc5a57e7d,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,1000
0392e78c508987c97de70b2474493e9b0dbbd0dcad69dec2648d686701da1df44a,028489604063b889ebd1cc47e7476d084978aa92ed6d5a3c824334b939ea0b9013,1000
02a0f1e7defe594d4f89e056ac45dbc3c2bdb29480270ed11c11040128a4ca6285,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,1000
02a0f1e7defe594d4f89e056ac45dbc3c2bdb29480270ed11c11040128a4ca6285,033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3,1000
0388157a19ed80015b64bf9cd3cbc3c3c4492822341ab7813c7f9c0dbccc08fb26,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
023033a65a59d8960970ae8aad940dc574594237ad1276344e8c1d73fe5efe56bb,03e6716879c3bca5c8ed3f24d0da085442c2bf8beaf569347370ea853b8b0435db,1000
023033a65a59d8960970ae8aad940dc574594237ad1276344e8c1d73fe5efe56bb,021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b,1000
031c32d4083c916e41727ffdd66cee7ff03366663a0e5c64e0ab59737dcfdf17c8,027644f08d2282a1a113583fc736c86943ab964dcf0271602167ce427f75cb1710,1000
03b72234539409e6390cf66322319cf2211f09880b015259bb66e69d47c507da05,03c7cad7e4ecfc741909b910d59b31b631e36afffc58e87389172c80702fddcbfa,1000
020dcba6ad62784594a2276e79818315aea5b2d0a04f6439f946cea1a62698bf76,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,1000
02ef471860e3634fb55624b329c09a682aba187c7aada690bab3c5ad9051f2e9f5,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
